unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Middle East & North Africa,JOR,Jordan,HEPB3,77,89,96,99,98,99,98,98,98,98,98,98,97,98,98,95,95,97,95,97,93,92,91,90,85,54,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KAZ,Kazakhstan,HEPB3,88,97,98,99,82,98,95,99,95,99,99,99,99,94,99,94,99,99,95,95,99,90,49,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,HEPB3,91,91,92,82,89,89,92,93,94,96,90,88,88,81,80,76,73,73,84,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KIR,Kiribati,HEPB3,92,94,95,90,81,82,75,95,94,95,91,86,83,96,88,50,67,73,79,85,90,82,89,97,66,36,36,8,6,7,73,,,,,,,,,,
Middle East & North Africa,KWT,Kuwait,HEPB3,,91,91,99,99,99,96,99,98,99,99,99,99,99,99,99,94,99,99,99,95,95,99,98,99,99,93,91,38,,,,,,,,,,,,
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,HEPB3,86,95,94,92,96,97,96,97,96,96,96,96,97,94,90,97,99,99,99,57,44,10,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People's Democratic Republic,HEPB3,79,80,85,84,83,83,83,83,77,76,74,67,61,50,57,49,45,50,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LVA,Latvia,HEPB3,99,99,96,98,98,94,92,94,90,89,91,92,93,91,94,99,98,98,98,96,95,94,9,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,HEPB3,71,80,80,80,80,80,80,80,80,80,81,81,81,80,78,77,75,74,77,80,83,86,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,LSO,Lesotho,HEPB3,87,87,87,87,87,83,88,93,95,96,93,91,88,90,91,87,60,17,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,HEPB3,65,70,80,80,73,65,63,80,80,77,70,81,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,HEPB3,73,73,73,96,97,97,94,96,98,98,98,98,98,98,98,97,99,96,91,93,92,92,92,91,93,92,92,91,88,,,,,,,,,,,,
Western Europe,LTU,Lithuania,HEPB3,91,92,93,94,95,94,94,93,93,95,94,95,96,96,95,95,94,95,94,95,98,96,73,,,,,,,,,,,,,,,,,,
Western Europe,LUX,Luxembourg,HEPB3,96,96,96,94,94,94,94,94,94,95,94,95,94,87,95,95,94,95,95,86,77,67,58,49,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MDG,Madagascar,HEPB3,70,70,66,65,68,62,68,70,68,73,70,77,77,84,82,81,71,61,51,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MWI,Malawi,HEPB3,90,95,92,88,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MYS,Malaysia,HEPB3,99,97,99,98,98,99,96,96,97,96,96,96,97,96,95,96,94,95,95,95,97,96,96,97,96,96,94,86,86,89,86,69,,,,,,,,,
South Asia,MDV,Maldives,HEPB3,99,98,99,99,99,99,99,99,99,96,97,98,98,98,98,98,97,98,98,98,96,90,45,50,96,80,63,21,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,HEPB3,70,77,77,77,76,71,66,64,65,66,72,71,74,74,90,83,73,79,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,MLT,Malta,HEPB3,98,98,98,88,97,95,90,94,93,82,75,86,86,82,86,85,85,89,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MHL,Marshall Islands,HEPB3,,82,84,82,73,85,79,80,80,89,97,99,97,93,97,89,72,74,80,76,38,80,80,70,68,47,46,17,24,17,10,3,,,,,,,,,
West & Central Africa,MRT,Mauritania,HEPB3,71,81,81,81,74,73,81,80,80,75,64,64,74,74,68,42,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MUS,Mauritius,HEPB3,93,97,97,96,72,97,97,98,98,98,99,99,99,97,97,97,98,97,88,92,88,85,90,90,,,,,,,,,,,,,,,,,
Latin America & Caribbean,MEX,Mexico,HEPB3,79,56,55,58,93,82,84,82,99,98,93,95,97,98,98,98,98,98,97,97,97,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FSM,Micronesia (Federated States of),HEPB3,88,84,83,80,76,78,81,83,82,83,88,89,89,90,84,91,80,89,85,81,87,77,79,78,80,82,82,82,73,65,56,47,,,,,,,,,
Western Europe,MCO,Monaco,HEPB3,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MNG,Mongolia,HEPB3,96,98,99,99,99,99,99,98,99,99,96,97,96,98,98,98,98,98,98,95,93,92,91,88,93,88,67,69,47,18,,,,,,,,,,,
Eastern Europe & Central Asia,MNE,Montenegro,HEPB3,52,62,72,73,75,82,87,90,90,91,90,87,93,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,HEPB3,,99,99,99,99,99,99,99,99,98,98,98,97,95,95,96,95,90,92,84,43,10,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MOZ,Mozambique,HEPB3,79,88,88,88,88,88,88,85,81,78,74,74,75,75,75,75,76,76,76,25,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MMR,Myanmar,HEPB3,84,90,91,89,90,89,88,75,58,40,92,91,85,85,75,62,39,8,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,NAM,Namibia,HEPB3,,87,89,88,85,92,88,89,84,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,HEPB3,95,96,90,87,97,91,95,87,79,99,99,99,99,99,99,80,78,77,75,95,58,62,29,86,72,57,79,99,90,79,,,,,,,,,,,
South Asia,NPL,Nepal,HEPB3,84,93,91,90,87,91,92,92,90,92,82,89,82,82,69,41,27,2,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NLD,Netherlands,HEPB3,,92,92,92,93,94,94,51,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NZL,New Zealand,HEPB3,92,92,93,94,92,92,93,93,93,95,90,93,90,88,87,87,88,89,89,90,90,89,87,99,94,88,81,74,67,,,,,,,,,,,,
Latin America & Caribbean,NIC,Nicaragua,HEPB3,92,98,98,98,98,98,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83,80,,,,,,,,,,,,,,,,,,,
West & Central Africa,NER,Niger,HEPB3,81,81,79,85,80,84,81,73,71,75,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NGA,Nigeria,HEPB3,57,57,56,55,53,42,43,43,42,46,49,63,41,42,27,18,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NIU,Niue,HEPB3,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,86,99,95,99,99,99,99,99,99,99,90,99,99,99,99,,,,,,,,,,,
Western Europe,NOR,Norway,HEPB3,97,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,OMN,Oman,HEPB3,,99,99,99,99,99,99,98,98,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,96,99,94,,,,,,,,,,,
South Asia,PAK,Pakistan,HEPB3,77,84,81,78,75,72,69,65,64,63,52,52,53,54,60,65,62,62,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PLW,Palau,HEPB3,93,98,98,98,98,90,99,99,89,91,80,69,92,91,98,98,98,99,99,98,96,96,96,90,99,99,73,94,75,89,,,,,,,,,,,
Latin America & Caribbean,PAN,Panama,HEPB3,74,88,88,81,86,73,80,80,85,87,94,85,86,85,88,92,95,98,98,98,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PNG,Papua New Guinea,HEPB3,39,35,35,36,46,52,57,69,69,72,67,66,59,61,71,63,60,67,60,59,57,54,47,44,43,23,20,7,12,19,20,,,,,,,,,,
Latin America & Caribbean,PRY,Paraguay,HEPB3,79,86,88,91,92,92,93,90,91,91,91,85,87,86,92,92,90,86,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PER,Peru,HEPB3,,88,84,83,89,90,88,88,95,91,93,93,93,93,94,94,92,65,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PHL,Philippines,HEPB3,71,77,79,82,84,55,63,87,88,87,77,85,88,87,77,49,48,52,42,45,7,32,30,31,35,38,,,,,,,,,,,,,,,
Western Europe,POL,Poland,HEPB3,,91,91,93,95,96,96,96,97,98,98,98,98,98,98,98,98,97,98,95,99,99,99,97,56,23,4,1,1,1,,,,,,,,,,,
Western Europe,PRT,Portugal,HEPB3,,98,98,98,98,98,98,98,98,97,97,96,97,97,97,94,94,94,82,70,58,61,64,49,34,6,,,,,,,,,,,,,,,
Middle East & North Africa,QAT,Qatar,HEPB3,82,98,98,97,98,99,89,97,93,93,97,99,97,94,96,97,97,93,98,93,89,92,92,90,90,90,90,93,89,86,,,,,,,,,,,
East Asia & Pacific,KOR,Republic of Korea,HEPB3,,98,98,98,98,98,99,99,99,99,94,94,94,91,99,99,92,91,92,89,93,88,82,88,93,99,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MDA,Republic of Moldova,HEPB3,87,94,94,89,90,88,92,91,94,96,98,89,97,95,98,99,99,99,99,94,92,94,93,87,81,19,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,Republic of North Macedonia,HEPB3,,92,92,91,94,92,97,97,98,96,90,95,97,96,89,53,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ROU,Romania,HEPB3,87,90,93,92,90,90,94,96,96,96,98,95,97,99,99,98,99,98,99,98,98,99,99,99,99,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,RUS,Russian Federation,HEPB3,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,97,96,94,81,43,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,RWA,Rwanda,HEPB3,91,98,97,98,98,98,98,98,98,97,97,97,97,97,99,95,89,96,88,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,KNA,Saint Kitts and Nevis,HEPB3,99,97,98,98,98,94,98,97,98,98,96,97,98,99,99,99,96,99,96,99,99,99,99,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCA,Saint Lucia,HEPB3,86,92,95,80,95,99,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VCT,Saint Vincent and the Grenadines,HEPB3,97,97,97,99,99,99,98,97,96,96,99,99,99,99,99,99,99,31,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,WSM,Samoa,HEPB3,72,58,34,74,80,84,81,85,82,75,72,58,26,58,46,51,62,90,92,93,93,97,98,99,98,96,94,1,18,,,,,,,,,,,,
Western Europe,SMR,San Marino,HEPB3,89,87,78,82,86,84,83,83,88,92,89,89,91,91,92,95,95,96,96,96,97,97,97,97,98,98,98,98,99,99,,,,,,,,,,,
West & Central Africa,STP,Sao Tome and Principe,HEPB3,,95,95,95,96,96,95,97,96,96,98,98,99,87,75,96,70,43,,,,,,,,,,,,,,,,,,,,,,,
