unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
West & Central Africa,MRT,Mauritania,DTP3,71,81,81,81,74,73,81,80,80,75,64,64,74,75,68,71,70,76,89,75,51,53,16,28,50,55,50,44,39,29,33,28,28,30,32,27,21,20,20,18,
Eastern & Southern Africa,MUS,Mauritius,DTP3,93,96,97,94,96,97,97,98,98,98,99,99,99,97,97,97,98,99,88,92,88,85,89,90,89,93,89,88,88,91,85,85,86,84,86,88,85,89,94,82,89
Latin America & Caribbean,MEX,Mexico,DTP3,74,82,88,85,93,87,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97,96,96,95,95,91,91,82,90,88,53,65,60,62,51,40,52,41,40,43,44
East Asia & Pacific,FSM,Micronesia (Federated States of),DTP3,83,78,75,73,69,72,77,81,81,84,85,91,85,79,67,94,78,92,84,75,85,76,80,75,79,83,81,78,91,79,85,95,85,57,,,,,,,
Western Europe,MCO,Monaco,DTP3,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,,,,,,,,
East Asia & Pacific,MNG,Mongolia,DTP3,96,98,99,99,99,99,99,98,99,99,96,95,96,95,99,99,99,98,98,95,94,94,94,92,90,88,78,79,64,81,84,84,82,80,81,80,77,79,79,78,76
Eastern Europe & Central Asia,MNE,Montenegro,DTP3,84,85,86,87,89,89,91,94,94,95,94,92,95,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,DTP3,,99,99,99,99,99,99,99,99,99,99,99,99,95,97,98,97,91,94,96,95,91,93,94,95,90,87,86,87,81,81,80,82,85,63,51,45,41,32,,
Eastern & Southern Africa,MOZ,Mozambique,DTP3,79,88,88,88,88,88,88,85,81,78,74,74,75,75,78,80,83,85,76,73,70,68,65,62,60,57,55,49,50,46,46,47,38,39,32,29,32,38,43,56,
East Asia & Pacific,MMR,Myanmar,DTP3,84,90,91,89,90,89,88,75,84,84,90,90,85,86,82,73,82,78,79,73,82,75,90,90,88,84,77,73,71,66,88,50,28,23,20,16,12,11,9,5,4
